Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/chk_HospitalReadmission""), 10)",Chrome 143.0.7499.171,,,23-01-2026 18:33:44,23-01-2026 18:33:45,1.148s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/rad_Medicaid""), 10)",Chrome 143.0.7499.171,,,23-01-2026 18:33:45,23-01-2026 18:33:47,1.145s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/txt_VisitDate""), 20)",Chrome 143.0.7499.171,,,23-01-2026 18:33:47,23-01-2026 18:33:48,1.149s,PASSED
components.CalendarPicker.selectDatePlusDays(30),Chrome 143.0.7499.171,,,23-01-2026 18:33:48,23-01-2026 18:33:51,2.990s,PASSED
"SmartWait.waitVisible(findTestObject(""Cura/Appointment/txt_Comment""), 10)",Chrome 143.0.7499.171,,,23-01-2026 18:33:51,23-01-2026 18:33:51,0.544s,PASSED
"setText(findTestObject(""Cura/Appointment/txt_Comment""), ""Katalon Advanced Automation"")",Chrome 143.0.7499.171,,,23-01-2026 18:33:51,23-01-2026 18:33:52,1.010s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Appointment/btn_BookAppointment""), 20)",Chrome 143.0.7499.171,,,23-01-2026 18:33:52,23-01-2026 18:33:54,2.053s,PASSED
,,,,,,,
Test Cases/Summary,Chrome 143.0.7499.171,,,23-01-2026 18:33:57,23-01-2026 18:34:02,4.801s,PASSED
"SmartWait.waitVisible(findTestObject(""Cura/Summary/lbl_Confirm_Title""), 20)",Chrome 143.0.7499.171,,,23-01-2026 18:33:57,23-01-2026 18:33:58,0.308s,PASSED
"verifyElementText(findTestObject(""Cura/Summary/lbl_Confirm_Title""), ""Appointment Confirmation"")",Chrome 143.0.7499.171,,,23-01-2026 18:33:58,23-01-2026 18:33:58,0.294s,PASSED
"facilityRaw = getText(findTestObject(""Cura/Summary/lbl_Facility_Value""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:58,23-01-2026 18:33:58,0.309s,PASSED
"readmissionRaw = getText(findTestObject(""Cura/Summary/lbl_Readmission_Value""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:58,23-01-2026 18:33:59,0.307s,PASSED
"programRaw = getText(findTestObject(""Cura/Summary/lbl_Program_Value""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:59,23-01-2026 18:33:59,0.285s,PASSED
"visitDateRaw = getText(findTestObject(""Cura/Summary/lbl_VisitDate_Value""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:59,23-01-2026 18:33:59,0.286s,PASSED
"commentRaw = getText(findTestObject(""Cura/Summary/lbl_Comment_Value""))",Chrome 143.0.7499.171,,,23-01-2026 18:33:59,23-01-2026 18:34:00,0.280s,PASSED
"facility = replace(""Facility"", """").trim()",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.006s,PASSED
"readmission = replace(""Apply for hospital readmission"", """").trim()",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.001s,PASSED
"program = replace(""Healthcare Program"", """").trim()",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.001s,PASSED
"visitDate = replace(""Visit Date"", """").trim()",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.001s,PASSED
"comment = replace(""Comment"", """").trim()",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.001s,PASSED
"verifyEqual(facility, ""Hongkong CURA Healthcare Center"")",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.003s,PASSED
"verifyEqual(readmission, ""Yes"")",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.006s,PASSED
"verifyEqual(program, ""Medicaid"")",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.005s,PASSED
"verifyMatch(visitDate, ""\d{2}/\d{2}/\d{4}"", true)",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.004s,PASSED
"verifyEqual(comment, ""Katalon Advanced Automation"")",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.004s,PASSED
Visual.compareSummaryPage(),Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:00,0.650s,PASSED
"SmartWait.waitClickable(findTestObject(""Cura/Summary/btn_GoToHomepage""), 15)",Chrome 143.0.7499.171,,,23-01-2026 18:34:00,23-01-2026 18:34:02,2.016s,PASSED
,,,,,,,
Start listener action : afterTestSuite,Chrome 143.0.7499.171,,,23-01-2026 18:34:02,23-01-2026 18:34:03,0.341s,PASSED
